Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
290,1.75,0,0,0,0,0,0,0,0,0,0,0,0,dp501
290,2.22,0,0,0,0,0,0,0,0,0,0,0,0,dp502
290,2.65,0,0,0,0,0,0,0,0,0,0,0,0,dp503
295,1.75,0,0,0,0,0,0,0,0,0,0,0,0,dp504
295,2.22,0,0,0,0,0,0,0,0,0,0,0,0,dp505
295,2.65,0,0,0,0,0,0,0,0,0,0,0,0,dp506
299,1.75,0,0,0,0,0,0,0,0,0,0,0,0,dp507
299,2.22,0,0,0,0,0,0,0,0,0,0,0,0,dp508
299,2.65,0,0,0,0,0,0,0,0,0,0,0,0,dp509
290,1.75,50,50,50,50,50,50,50,50,50,50,50,50,dp510
290,2.22,50,50,50,50,50,50,50,50,50,50,50,50,dp511
290,2.65,50,50,50,50,50,50,50,50,50,50,50,50,dp512
295,1.75,50,50,50,50,50,50,50,50,50,50,50,50,dp513
295,2.22,50,50,50,50,50,50,50,50,50,50,50,50,dp514
295,2.65,50,50,50,50,50,50,50,50,50,50,50,50,dp515
299,1.75,50,50,50,50,50,50,50,50,50,50,50,50,dp516
299,2.22,50,50,50,50,50,50,50,50,50,50,50,50,dp517
299,2.65,50,50,50,50,50,50,50,50,50,50,50,50,dp518
290,1.75,75,75,75,75,75,75,75,75,75,75,75,75,dp519
290,2.22,75,75,75,75,75,75,75,75,75,75,75,75,dp520
290,2.65,75,75,75,75,75,75,75,75,75,75,75,75,dp521
295,1.75,75,75,75,75,75,75,75,75,75,75,75,75,dp522
295,2.22,75,75,75,75,75,75,75,75,75,75,75,75,dp523
295,2.65,75,75,75,75,75,75,75,75,75,75,75,75,dp524
299,1.75,75,75,75,75,75,75,75,75,75,75,75,75,dp525
299,2.22,75,75,75,75,75,75,75,75,75,75,75,75,dp526
299,2.65,75,75,75,75,75,75,75,75,75,75,75,75,dp527
290,1.75,100,100,100,100,100,100,100,100,100,100,100,100,dp528
290,2.22,100,100,100,100,100,100,100,100,100,100,100,100,dp529
290,2.65,100,100,100,100,100,100,100,100,100,100,100,100,dp530
295,1.75,100,100,100,100,100,100,100,100,100,100,100,100,dp531
295,2.22,100,100,100,100,100,100,100,100,100,100,100,100,dp532
295,2.65,100,100,100,100,100,100,100,100,100,100,100,100,dp533
299,1.75,100,100,100,100,100,100,100,100,100,100,100,100,dp534
299,2.22,100,100,100,100,100,100,100,100,100,100,100,100,dp535
299,2.65,100,100,100,100,100,100,100,100,100,100,100,100,dp536
