Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
290,2.65,75,75,75,0,0,75,100,100,50,75,50,100,dp91
290,2.65,50,75,75,75,0,50,100,100,100,0,0,75,dp92
290,2.22,100,0,75,100,50,75,0,0,75,75,0,50,dp93
299,2.65,100,50,75,50,0,75,100,0,0,100,100,50,dp94
290,1.75,75,100,100,75,100,100,50,0,0,0,0,100,dp95
290,1.75,75,75,50,50,100,75,75,0,100,100,0,100,dp96
290,2.65,100,50,75,100,50,75,0,50,50,75,0,50,dp97
299,1.75,100,100,100,0,50,100,0,100,75,50,50,0,dp98
290,2.65,0,50,100,100,75,100,0,0,100,0,50,50,dp99
290,1.75,100,50,50,75,75,50,100,75,0,0,0,100,dp100
299,1.75,50,0,100,75,50,75,100,0,0,100,0,50,dp101
299,2.65,100,75,100,50,50,100,100,0,50,100,100,50,dp102
299,1.75,100,0,50,0,0,0,0,50,0,0,100,50,dp103
290,2.65,50,75,50,50,75,50,50,50,50,75,50,50,dp104
299,1.75,75,100,0,100,75,0,75,75,50,0,50,0,dp105
299,1.75,75,75,100,0,50,100,100,100,50,100,50,100,dp106
290,2.22,50,75,75,75,75,75,100,100,100,50,50,50,dp107
299,2.22,50,75,75,75,0,100,50,50,75,50,50,100,dp108
290,2.65,75,100,0,0,0,75,50,75,75,50,100,0,dp109
295,2.22,100,0,75,0,75,100,75,100,50,50,50,75,dp110
299,2.65,50,0,100,100,0,75,75,100,50,75,75,0,dp111
295,2.22,0,50,75,75,0,75,100,0,50,0,75,50,dp112
290,1.75,0,100,100,0,100,100,100,50,100,100,100,50,dp113
299,2.65,0,75,100,0,100,50,0,50,100,100,50,75,dp114
290,2.65,50,100,50,75,50,75,75,50,50,0,100,75,dp115
295,1.75,0,50,100,0,75,0,75,50,100,100,100,50,dp116
290,2.65,75,50,100,50,50,50,75,0,0,50,0,0,dp117
299,2.65,50,50,100,0,75,50,100,75,0,100,50,75,dp118
299,2.22,50,0,75,0,0,100,50,75,0,0,75,0,dp119
295,2.65,100,100,100,100,0,75,75,75,75,50,75,50,dp120
290,1.75,50,100,50,0,50,100,50,0,0,0,100,100,dp121
299,2.22,75,100,0,0,100,50,100,100,0,75,0,75,dp122
295,2.22,0,100,0,0,0,100,100,100,100,75,75,50,dp123
299,1.75,100,75,0,100,50,50,50,0,75,0,100,50,dp124
299,1.75,0,0,75,75,50,0,0,75,0,0,0,75,dp125
290,2.22,50,100,50,100,0,50,100,75,75,50,50,0,dp126
299,2.65,50,0,0,75,75,100,75,75,50,75,100,50,dp127
290,2.22,100,75,100,50,0,100,100,50,50,100,75,100,dp128
299,1.75,50,0,0,75,100,0,100,50,0,75,50,75,dp129
